video_id,title,channel,published_at,description,source,comment_id,text,author,like_count,updated_at,cleaned_text,sentiment,compound,pos,neg,neu,confidence
5HQCNAsSO-s,,,2025-07-30 15:22:55+00:00,,youtube_comment,UgytahgiMcmzagBx6hR4AaABAg,"The process called sentiment analysis or opinion mining, uses natural language processing and machine learning to detect emotions, attitudes, or opinions in text.",@victorshipka,0.0,2025-07-30 15:22:55+00:00,"The process called sentiment analysis or opinion mining, uses natural language processing and machine learning to detect emotions, attitudes, or opinions in text.",positive,0.3612,0.102,0.0,0.898,0.898
5HQCNAsSO-s,,,2026-02-12 00:40:36+00:00,,youtube_comment,UgwziI7zJMaYAnxrO2J4AaABAg,thx for the video!,@IsaTimur,0.0,2026-02-12 00:40:36+00:00,thx for the video!,positive,0.4199,0.482,0.0,0.518,0.518
5HQCNAsSO-s,,,2024-06-26 09:12:57+00:00,,youtube_comment,UgzZ8HDg8SsjJdfWQmp4AaABAg,"thanks, you are one of the best guys who can explain complex concepts in an easy and smooth way, i really appreciate your efforts",@ahmadsaud3531,1.0,2024-06-26 09:12:57+00:00,"thanks, you are one of the best guys who can explain complex concepts in an easy and smooth way, i really appreciate your efforts",positive,0.9184,0.394,0.0,0.606,0.606
5HQCNAsSO-s,,,2025-07-30 11:48:37+00:00,,youtube_comment,UgyCvIR0utJyZodZIst4AaABAg,"If IBM does sentimental analysis on such video comments - No matter what approach they take - Rule based or Machine learning the result will always be positive.

Thank You Martin and IBM for such content.",@_lazy_human,3.0,2025-07-30 11:48:37+00:00,If IBM does sentimental analysis on such video comments - No matter what approach they take - Rule based or Machine learning the result will always be positive. Thank You Martin and IBM for such content.,positive,0.8088,0.203,0.026,0.772,0.772
5HQCNAsSO-s,,,2025-01-21 03:59:50+00:00,,youtube_comment,Ugz46cTSTNBbVrBAeW94AaABAg,Great video! Thanks for sharing.,@dufreebell,0.0,2025-01-21 03:59:50+00:00,Great video! Thanks for sharing.,positive,0.8777,0.835,0.0,0.165,0.835
5HQCNAsSO-s,,,2024-10-26 20:14:06+00:00,,youtube_comment,UgyvycUaEO2Mhx5N3Jp4AaABAg,This was a real information packed thought thumper. Nice job glad I seen the short and your link to it.,@toenytv7946,0.0,2024-10-26 20:14:06+00:00,This was a real information packed thought thumper. Nice job glad I seen the short and your link to it.,positive,0.7003,0.244,0.0,0.756,0.756
5HQCNAsSO-s,,,2024-10-03 21:58:25+00:00,,youtube_comment,Ugxg-y1JHoj_7Wqqe214AaABAg,very well explained,@snehallande6718,1.0,2024-10-03 21:58:25+00:00,very well explained,positive,0.3384,0.545,0.0,0.455,0.545
5HQCNAsSO-s,,,2024-10-30 13:36:53+00:00,,youtube_comment,Ugx4SuCw10ZgeBojM2N4AaABAg,Nice explanations! Thanks a lot,@eudoxieumwali8204,0.0,2024-10-30 13:36:53+00:00,Nice explanations! Thanks a lot,positive,0.7177,0.666,0.0,0.334,0.666
5HQCNAsSO-s,,,2024-06-19 23:18:14+00:00,,youtube_comment,Ugzzy1tZaKBFaWdu71d4AaABAg,These videos are extremely informative and educational--thank you IBM!,@bikedawg,0.0,2024-06-19 23:18:14+00:00,These videos are extremely informative and educational--thank you IBM!,neutral,0.0,0.0,0.0,1.0,1.0
5HQCNAsSO-s,,,2025-10-28 06:05:53+00:00,,youtube_comment,UgwJmVdsHz7clR7QxMh4AaABAg,"This is a great video which can act as a stepping stone for some who knows a bit of SA but is keen on furthering the skill. 

But I fail to understand why IBM always uses examples of business challenges and customer needs. For example, I am trying to assess a survey of respondents who are university students and this has got nothing to do with business.",@bibekanandabhattacharjee952,1.0,2025-10-28 06:06:53+00:00,"This is a great video which can act as a stepping stone for some who knows a bit of SA but is keen on furthering the skill. But I fail to understand why IBM always uses examples of business challenges and customer needs. For example, I am trying to assess a survey of respondents who are university students and this has got nothing to do with business.",positive,0.128,0.097,0.063,0.84,0.84
5HQCNAsSO-s,,,2024-10-16 19:07:19+00:00,,youtube_comment,Ugyim4dwtxX2c4WlsEt4AaABAg,Thank you so much 😊,@meryemmeryem8434,0.0,2024-10-16 19:07:19+00:00,Thank you so much,positive,0.3612,0.455,0.0,0.545,0.545
5HQCNAsSO-s,,,2024-06-20 02:24:57+00:00,,youtube_comment,UgyxL1yvbUq4R4yz6qh4AaABAg,One other synonym to lexicon often used by NLP is ontology.,@sammyfrancisco9966,0.0,2024-06-20 02:24:57+00:00,One other synonym to lexicon often used by NLP is ontology.,neutral,0.0,0.0,0.0,1.0,1.0
5HQCNAsSO-s,,,2024-06-22 01:59:18+00:00,,youtube_comment,UgxBM4xerQS07oeKizR4AaABAg,Excellent 👌🏻 Explanation,@varunpratapsingh6138,0.0,2024-06-22 01:59:18+00:00,Excellent Explanation,positive,0.5719,0.787,0.0,0.213,0.787
5HQCNAsSO-s,,,2024-06-19 14:28:11+00:00,,youtube_comment,UgwVf4QQz7mpCwQuKLh4AaABAg,@IBM Technology please confirm whether it was meant to be logistic regression instead of linear regression,@oshkit,1.0,2024-06-19 14:28:11+00:00,IBM Technology please confirm whether it was meant to be logistic regression instead of linear regression,positive,0.3182,0.133,0.0,0.867,0.867
5HQCNAsSO-s,,,2024-08-29 08:17:20+00:00,,youtube_comment,UgyPfzD3BCGMEwq1ZoV4AaABAg,That was perfect,@sarehsadeghi-j8s,0.0,2024-08-29 08:17:20+00:00,That was perfect,positive,0.5719,0.649,0.0,0.351,0.649
5HQCNAsSO-s,,,2024-06-22 10:54:22+00:00,,youtube_comment,UgzYa2n48pdpU7944OJ4AaABAg,"Other Companies: thinking about profit

Meanwhile Martin sir and IBM: Lets teach almost each week",@constructivecritisizer,9.0,2024-06-22 10:54:22+00:00,Other Companies: thinking about profit Meanwhile Martin sir and IBM: Lets teach almost each week,positive,0.4404,0.172,0.0,0.828,0.828
5HQCNAsSO-s,,,2024-06-19 12:32:33+00:00,,youtube_comment,UgzIrdSmMM68TKyG-mN4AaABAg,Linear regression is not a classification method!,@evandrogoulart7307,22.0,2024-06-19 12:32:33+00:00,Linear regression is not a classification method!,neutral,0.0,0.0,0.0,1.0,1.0
5HQCNAsSO-s,,,2024-06-20 15:19:57+00:00,,youtube_comment,UgxwMKW5ieG1prll1I54AaABAg,awesome,@manitahriri,0.0,2024-06-20 15:19:57+00:00,awesome,positive,0.6249,1.0,0.0,0.0,1.0
5HQCNAsSO-s,,,2024-07-22 09:44:28+00:00,,youtube_comment,UgyorGRYJvMV0E6NaBB4AaABAg,how did he not mention transformers? Please make a video on deploying BERT,@glenilame9910,0.0,2024-07-22 09:44:28+00:00,how did he not mention transformers? Please make a video on deploying BERT,negative,-0.2411,0.0,0.141,0.859,0.859
5HQCNAsSO-s,,,2025-10-06 17:09:42+00:00,,youtube_comment,UgyyTKOnYZFTlajv5Bl4AaABAg,"Ah Linear Regression is not a classification method, I believe you meant Logistic Regression?",@RohitSen-t2k,4.0,2025-10-06 17:09:42+00:00,"Ah Linear Regression is not a classification method, I believe you meant Logistic Regression?",neutral,0.0,0.0,0.0,1.0,1.0
5HQCNAsSO-s,,,2024-06-20 14:17:51+00:00,,youtube_comment,UgwN2ARFBiYSaN3JJ-J4AaABAg,How ontology is used,@BANOTHPRADEEP-io7rg,0.0,2024-06-20 14:17:51+00:00,How ontology is used,neutral,0.0,0.0,0.0,1.0,1.0
5HQCNAsSO-s,,,2024-08-17 12:28:43+00:00,,youtube_comment,UgxFXTSnTR6KGq6H2814AaABAg,Sir 🫡🫡🫡,@sureshkumar-oq6vt,0.0,2024-08-17 12:28:43+00:00,Sir,neutral,0.0,0.0,0.0,1.0,1.0
5HQCNAsSO-s,,,2026-01-04 17:15:00+00:00,,youtube_comment,UgxHiEmOJqzq8-_7NGZ4AaABAg,is he writing backwards?,@soumikdutta8096,0.0,2026-01-04 17:15:00+00:00,is he writing backwards?,neutral,0.0,0.0,0.0,1.0,1.0
5HQCNAsSO-s,,,2024-11-21 18:19:43+00:00,,youtube_comment,Ugxh8cAxNJLOm3cMZnR4AaABAg,Are you writing backwards?,@austenpiers9281,0.0,2024-11-21 18:19:43+00:00,Are you writing backwards?,neutral,0.0,0.0,0.0,1.0,1.0
5HQCNAsSO-s,,,2025-10-07 00:45:41+00:00,,youtube_comment,Ugwnp1VEyq5NU_wz4bd4AaABAg,Do you still make beer?,@paolobagares2522,0.0,2025-10-07 00:46:06+00:00,Do you still make beer?,neutral,0.0,0.0,0.0,1.0,1.0
5HQCNAsSO-s,,,2025-11-26 18:33:15+00:00,,youtube_comment,Ugy7J5GAYh77yiULM1B4AaABAg,How could you publish this video in 2024 and not mention solving it via LLMs? This makes no sense to me.,@markbosshard,0.0,2025-11-26 18:33:15+00:00,How could you publish this video in 2024 and not mention solving it via LLMs? This makes no sense to me.,negative,-0.5,0.0,0.182,0.818,0.818
5HQCNAsSO-s,,,2024-06-19 23:22:22+00:00,,youtube_comment,UgzRgzUJu8CaUxivZPd4AaABAg,"FROM CHATGPT:
In sentiment analysis using a machine learning approach, logistic regression is the appropriate classification algorithm, not linear regression. Here's why:

*Logistic Regression*

Classification Task:
Sentiment analysis is typically a binary classification task (positive vs. negative sentiment) or a multi-class classification task (e.g., positive, neutral, negative).
Logistic regression is designed for classification problems, making it suitable for sentiment analysis.

Output:
Logistic regression outputs probabilities that can be mapped to discrete classes (e.g., sentiment labels). The sigmoid function is used to convert the linear combination of input features into a probability between 0 and 1.
The model predicts the class label based on the highest probability.


Decision Boundary:
Logistic regression creates a decision boundary to separate different classes based on the feature space, which is essential for classification tasks.


*Linear Regression*

Regression Task:
Linear regression is used for regression problems, where the goal is to predict a continuous outcome variable.
It is not suitable for classification tasks because it predicts a continuous value rather than discrete class labels.


Output:
Linear regression outputs a continuous value, which is not directly interpretable as class labels for sentiment analysis.


Decision Boundary:
Linear regression does not create a decision boundary for classification. Instead, it fits a line (or hyperplane) to predict continuous values.",@bikedawg,6.0,2024-06-19 23:22:58+00:00,"FROM CHATGPT: In sentiment analysis using a machine learning approach, logistic regression is the appropriate classification algorithm, not linear regression. Here's why: *Logistic Regression* Classification Task: Sentiment analysis is typically a binary classification task (positive vs. negative sentiment) or a multi-class classification task (e.g., positive, neutral, negative). Logistic regression is designed for classification problems, making it suitable for sentiment analysis. Output: Logistic regression outputs probabilities that can be mapped to discrete classes (e.g., sentiment labels). The sigmoid function is used to convert the linear combination of input features into a probability between 0 and 1. The model predicts the class label based on the highest probability. Decision Boundary: Logistic regression creates a decision boundary to separate different classes based on the feature space, which is essential for classification tasks. *Linear Regression* Regression Task: Linear regression is used for regression problems, where the goal is to predict a continuous outcome variable. It is not suitable for classification tasks because it predicts a continuous value rather than discrete class labels. Output: Linear regression outputs a continuous value, which is not directly interpretable as class labels for sentiment analysis. Decision Boundary: Linear regression does not create a decision boundary for classification. Instead, it fits a line (or hyperplane) to predict continuous values.",positive,0.2928,0.073,0.064,0.863,0.863
5HQCNAsSO-s,,,2024-06-26 03:52:32+00:00,,youtube_comment,UgyBlvfvfshr80de81Z4AaABAg,They can read minds. You guys have been illegally reading my mind via A.I. mind reading technology for over a year now.,@ahmedshaikh3438,0.0,2024-06-26 03:52:32+00:00,They can read minds. You guys have been illegally reading my mind via A.I. mind reading technology for over a year now.,neutral,0.0,0.0,0.0,1.0,1.0
iW8NtsjTfN0,I Built an AI Bot That Reads Market News and Predicts Sentiment Instantly [Free Python Script],CodeTrading,2025-10-23 09:30:24+00:00,"I built an AI bot that reads market news and predicts sentiment instantly! In this tutorial, you'll see how to use FinBERT, ...",youtube_video,,,,,,,,,,,,
iW8NtsjTfN0,,,2025-10-22 17:55:46+00:00,,youtube_comment,UgxaG9d64n4TO2HVN6l4AaABAg,"You can build your own system using this example, other resources are also available:
🎓 >>> My Full AI Trading Courses: https://codetradingcafe.com
📘 >>> Read My Book: Algorithmic Trading with Python: https://a.co/d/6woMBHt
💾>>> Download the FREE Python Script: https://github.com/ZiadFrancis/NewsSentimentScanner
Happy learning, happy coding ☕",@CodeTradingCafe,12.0,2025-10-22 17:56:03+00:00,"You can build your own system using this example, other resources are also available: >>> My Full AI Trading Courses: >>> Read My Book: Algorithmic Trading with Python: >>> Download the FREE Python Script: Happy learning, happy coding",positive,0.9087,0.246,0.0,0.754,0.754
iW8NtsjTfN0,,,2025-10-23 11:14:11+00:00,,youtube_comment,UgyFf59FrpATOvH_ZZF4AaABAg,Sir you are democratizing finance and programming on that which is still now only for tech and quant guys. Saying thankful would be a very small adjective to your effort. Really appreciable. Lots of love and respect from 🇮🇳India🎉❤,@sauravdey6675,40.0,2025-10-23 11:14:11+00:00,Sir you are democratizing finance and programming on that which is still now only for tech and quant guys. Saying thankful would be a very small adjective to your effort. Really appreciable. Lots of love and respect from India,positive,0.9001,0.234,0.0,0.766,0.766
iW8NtsjTfN0,,,2026-03-10 06:14:55+00:00,,youtube_comment,Ugx4bHR2Bb2GqM_s5814AaABAg,I salute you my bro from another part of the world. Your AI integration to trading prowess is awesome. Saying thank you isn't enough... May God continue to increase you as you educate his people,@peterkamara2855,1.0,2026-03-10 06:14:55+00:00,I salute you my bro from another part of the world. Your AI integration to trading prowess is awesome. Saying thank you isn't enough... May God continue to increase you as you educate his people,positive,0.7956,0.213,0.043,0.743,0.743
iW8NtsjTfN0,,,2025-10-23 18:58:01+00:00,,youtube_comment,Ugw1aGtlNiJN5Qy4fmZ4AaABAg,"So nice! 
You wrote in one of the earlier videos that you will upload a video regarding reinforcement learning - cant wait to see that!",@NaHa-c3x,8.0,2025-10-23 18:58:01+00:00,So nice! You wrote in one of the earlier videos that you will upload a video regarding reinforcement learning - cant wait to see that!,positive,0.5686,0.133,0.0,0.867,0.867
iW8NtsjTfN0,,,2025-10-23 23:23:32+00:00,,youtube_comment,UgzlrCFWoh0XkQwyTFR4AaABAg,Thank you so much for your valuable video and for sharing your code too❤,@piw_rarar,6.0,2025-10-23 23:23:32+00:00,Thank you so much for your valuable video and for sharing your code too,positive,0.8126,0.433,0.0,0.567,0.567
iW8NtsjTfN0,,,2025-10-23 10:56:09+00:00,,youtube_comment,Ugz4Acm8E1AFjJ_uIbd4AaABAg,"u r my only motivation to learn , python tbh",@hxgaming940,6.0,2025-10-23 10:56:09+00:00,"u r my only motivation to learn , python tbh",positive,0.34,0.211,0.0,0.789,0.789
iW8NtsjTfN0,,,2025-10-29 00:43:26+00:00,,youtube_comment,Ugww9x6IVpmorHDLiyV4AaABAg,Who’s here after the Nokia Nvidia announcement today. You can see the stock rally about 5% within seconds of the announcement (10:30 AM EST) then for the next hour or so it rallied to another 20%. Clearly the initial momentum was from HFT firms that trade on milliseconds but I believe the other 80% of such a rally could be captured by a less advanced setup hopefully used by retail traders like everyone here.,@remionthemoon,7.0,2025-10-29 00:43:26+00:00,Whos here after the Nokia Nvidia announcement today. You can see the stock rally about 5% within seconds of the announcement (10:30 AM EST) then for the next hour or so it rallied to another 20%. Clearly the initial momentum was from HFT firms that trade on milliseconds but I believe the other 80% of such a rally could be captured by a less advanced setup hopefully used by retail traders like everyone here.,positive,0.8524,0.128,0.0,0.872,0.872
iW8NtsjTfN0,,,2026-02-26 16:56:24+00:00,,youtube_comment,UgxflYEEKl7tMJ5Jhkl4AaABAg,"Hey man, I just want to show appreciate with your videos. 

I have great working EA's I coded for MT5. I have multiple EA's with different strategies and parameters (Breakout, ATR Entries).
These strategies tests great for the last 2 years of data. 

But I know, my next move is to to connect the EA's to a ""Central AI Server"" Where the EA would send the potential trades, and the Server would determine if it's a good trade or not with news filtering.

You have helped me out a lot. Thank you.",@cryptohustlemind6335,1.0,2026-02-26 16:56:24+00:00,"Hey man, I just want to show appreciate with your videos. I have great working EA's I coded for MT5. I have multiple EA's with different strategies and parameters (Breakout, ATR Entries). These strategies tests great for the last 2 years of data. But I know, my next move is to to connect the EA's to a ""Central AI Server"" Where the EA would send the potential trades, and the Server would determine if it's a good trade or not with news filtering. You have helped me out a lot. Thank you.",positive,0.9217,0.15,0.0,0.85,0.85
iW8NtsjTfN0,,,2025-10-26 14:35:33+00:00,,youtube_comment,UgxPir_sRh9dzuOpD3Z4AaABAg,Thanks for all that you do and sharing it for free.,@junabad3412,2.0,2025-10-26 14:35:33+00:00,Thanks for all that you do and sharing it for free.,positive,0.8402,0.529,0.0,0.471,0.529
iW8NtsjTfN0,,,2025-10-24 19:15:59+00:00,,youtube_comment,Ugy8e-BMfXxryknXWqZ4AaABAg,"Wow this is huge 😊 also planning on building something like this, thanks 🙏🏼",@Rook0z-0z,2.0,2025-10-24 19:15:59+00:00,"Wow this is huge also planning on building something like this, thanks",positive,0.8995,0.599,0.0,0.401,0.599
iW8NtsjTfN0,,,2025-10-31 19:36:38+00:00,,youtube_comment,UgyjRxIC2HbPNtPfoq14AaABAg,Thanks for your videos!,@Adam.3313,2.0,2025-10-31 19:36:38+00:00,Thanks for your videos!,positive,0.4926,0.516,0.0,0.484,0.516
iW8NtsjTfN0,,,2026-03-07 23:46:32+00:00,,youtube_comment,UgzLvaIJBi_B4MyumWp4AaABAg,Excellent video but the article content doesnt get fetched the url from google rss doesnt work directly.,@vasanthpragash854,1.0,2026-03-07 23:46:32+00:00,Excellent video but the article content doesnt get fetched the url from google rss doesnt work directly.,positive,0.3291,0.128,0.0,0.872,0.872
iW8NtsjTfN0,,,2025-10-23 11:52:43+00:00,,youtube_comment,UgxyJ6FwIhtRd8XyI5t4AaABAg,"thanks for sharing, amazing work",@marcosmaciel1551,1.0,2025-10-23 11:52:43+00:00,"thanks for sharing, amazing work",positive,0.8591,0.826,0.0,0.174,0.826
iW8NtsjTfN0,,,2025-10-23 10:11:55+00:00,,youtube_comment,UgzFat3ghiPNy6_jLLp4AaABAg,There is a guy who stream his algorithm bot now am curious to see AI bot live how they would work then from there we can even buy from you,@RobotInnovationandAI,3.0,2025-10-23 10:11:55+00:00,There is a guy who stream his algorithm bot now am curious to see AI bot live how they would work then from there we can even buy from you,positive,0.3182,0.073,0.0,0.927,0.927
iW8NtsjTfN0,,,2025-10-23 11:10:10+00:00,,youtube_comment,Ugw0D4sgI5TGiXDugmB4AaABAg,Wonderful!,@marcelob.5300,1.0,2025-10-23 11:10:10+00:00,Wonderful!,positive,0.6114,1.0,0.0,0.0,1.0
iW8NtsjTfN0,,,2025-10-26 07:45:08+00:00,,youtube_comment,UgydOJ9HZLDr69q61u14AaABAg,Please do price action side ways range market breakout or break down strategy can u code using python,@munivoltarc,2.0,2025-10-26 07:45:08+00:00,Please do price action side ways range market breakout or break down strategy can u code using python,positive,0.3182,0.119,0.0,0.881,0.881
iW8NtsjTfN0,,,2026-01-18 06:03:59+00:00,,youtube_comment,Ugw5JczoU6XLSEYmaLB4AaABAg,"cool, thx",@olegsem79,1.0,2026-01-18 06:03:59+00:00,"cool, thx",positive,0.5859,1.0,0.0,0.0,1.0
iW8NtsjTfN0,,,2025-10-23 09:48:56+00:00,,youtube_comment,UgxszL2koX3eWy8CyDt4AaABAg,Please am curious on the autobnn live trading maybe you can create that code we see how AI trade I have train a ltsm model am stuck on make it to be a bot,@RobotInnovationandAI,2.0,2025-10-23 09:48:56+00:00,Please am curious on the autobnn live trading maybe you can create that code we see how AI trade I have train a ltsm model am stuck on make it to be a bot,positive,0.5719,0.173,0.052,0.775,0.775
iW8NtsjTfN0,,,2025-11-02 13:58:13+00:00,,youtube_comment,UgwONEDAas0v1xWt1yh4AaABAg,It would be helpful to see an example of it in use.,@williampapke2163,1.0,2025-11-02 13:58:13+00:00,It would be helpful to see an example of it in use.,positive,0.4215,0.203,0.0,0.797,0.797
iW8NtsjTfN0,,,2026-02-22 12:45:44+00:00,,youtube_comment,UgwSY5-JCmaOCO70urd4AaABAg,FinBERT is better for to analyse news sentiment. I have developed that today. Decent resulta,@DearMe09,1.0,2026-02-22 12:45:44+00:00,FinBERT is better for to analyse news sentiment. I have developed that today. Decent resulta,positive,0.4404,0.172,0.0,0.828,0.828
iW8NtsjTfN0,,,2025-10-23 09:33:51+00:00,,youtube_comment,Ugzx9UMLhWS2-lKZexx4AaABAg,thank you!,@alisher.m,1.0,2025-10-23 09:33:51+00:00,thank you!,positive,0.4199,0.736,0.0,0.264,0.736
iW8NtsjTfN0,,,2025-10-25 07:54:32+00:00,,youtube_comment,UgwONOd7Biq-7Bh5tCV4AaABAg,"Gold is probably not a great choice. Suppose there's news of a new gold mine opening up or the government allowed new areas to be mined. They are good news, but bad for the gold price.",@wedding_photography,3.0,2025-10-25 07:54:32+00:00,"Gold is probably not a great choice. Suppose there's news of a new gold mine opening up or the government allowed new areas to be mined. They are good news, but bad for the gold price.",negative,-0.7138,0.047,0.165,0.789,0.789
iW8NtsjTfN0,,,2025-11-18 14:33:12+00:00,,youtube_comment,UgzEFhnheo7bZb6xXxF4AaABAg,"Would be great if you made a new algorithmic trading course, now that we have AI and other resources",@nublado2283,1.0,2025-11-18 14:33:12+00:00,"Would be great if you made a new algorithmic trading course, now that we have AI and other resources",positive,0.6249,0.186,0.0,0.814,0.814
iW8NtsjTfN0,,,2026-01-13 00:17:18+00:00,,youtube_comment,UgwBKIrMPKAq5lITrLx4AaABAg,"maybe can we backtest this bot, this is very interesting, like to know how much profit you can get if you place long for each positive news",@AvironLab,1.0,2026-01-13 00:17:18+00:00,"maybe can we backtest this bot, this is very interesting, like to know how much profit you can get if you place long for each positive news",positive,0.9056,0.348,0.0,0.652,0.652
iW8NtsjTfN0,,,2025-10-28 07:06:23+00:00,,youtube_comment,Ugx1Dzrt3mxsjJ7CkEd4AaABAg,"If possible integrate past years fundamental economical releases and other news feed and information.  ?

Once we analyze  these data and all the AI will read the information and we can gather and ask information and provide live trading.",@RinaMoriStories,1.0,2025-10-28 07:06:23+00:00,If possible integrate past years fundamental economical releases and other news feed and information. ? Once we analyze these data and all the AI will read the information and we can gather and ask information and provide live trading.,neutral,0.0,0.0,0.0,1.0,1.0
iW8NtsjTfN0,,,2025-10-25 06:19:33+00:00,,youtube_comment,UgxEH8hjhCPq1Jdpeyd4AaABAg,Plz create Break and retest algorithm on 1D time frame EURUSD,@DarkFF-yo4qv,2.0,2025-10-25 06:19:33+00:00,Plz create Break and retest algorithm on 1D time frame EURUSD,positive,0.34,0.274,0.0,0.726,0.726
iW8NtsjTfN0,,,2025-10-23 09:47:24+00:00,,youtube_comment,UgzfZvyY1wTD3eF8O-R4AaABAg,Great,@RobotInnovationandAI,1.0,2025-10-23 09:47:24+00:00,Great,positive,0.6249,1.0,0.0,0.0,1.0
iW8NtsjTfN0,,,2025-10-23 10:10:35+00:00,,youtube_comment,UgxvY7R16H1-cWt51tV4AaABAg,Please have a live stream to see how it will behave plus even AI bot so that we see how AI work this will encourage us to study hard even though it is tough,@RobotInnovationandAI,0.0,2025-10-23 10:10:35+00:00,Please have a live stream to see how it will behave plus even AI bot so that we see how AI work this will encourage us to study hard even though it is tough,positive,0.5719,0.145,0.075,0.779,0.779
iW8NtsjTfN0,,,2025-11-15 03:01:54+00:00,,youtube_comment,UgwA9I8gOruwx_jtAsd4AaABAg,Gangsta 😈,@The_Quaalude,1.0,2025-11-15 03:01:54+00:00,Gangsta,neutral,0.0,0.0,0.0,1.0,1.0
iW8NtsjTfN0,,,2025-10-24 10:13:21+00:00,,youtube_comment,UgwXdDC0hqJxjOQI11t4AaABAg,First!,@dholaramgujjar430,1.0,2025-10-24 10:13:21+00:00,First!,neutral,0.0,0.0,0.0,1.0,1.0
iW8NtsjTfN0,,,2025-10-26 04:50:15+00:00,,youtube_comment,UgyXeHnLFC_WJ_fxfh14AaABAg,Perfeito!!!,@bandaelroi2026,1.0,2025-10-26 04:50:15+00:00,Perfeito!!!,neutral,0.0,0.0,0.0,1.0,1.0
iW8NtsjTfN0,,,2026-02-12 14:27:06+00:00,,youtube_comment,UgzNP4SK89wANi9GNfZ4AaABAg,Nice pipeline. Did you compare it to simple baselines (momentum / buy-and-hold) and check if sentiment adds incremental edge after fees/slippage?,@Yeagers_tec,1.0,2026-02-12 14:27:06+00:00,Nice pipeline. Did you compare it to simple baselines (momentum / buy-and-hold) and check if sentiment adds incremental edge after fees/slippage?,positive,0.4215,0.123,0.0,0.877,0.877
iW8NtsjTfN0,,,2025-10-27 19:51:49+00:00,,youtube_comment,UgyDLWBklRu3hfwjbHd4AaABAg,"is your search goes to twiter or some other sites that are oiperated by bots , or you are filterring them , the setiment can be biased by such elements",@zvi1988,1.0,2025-10-27 19:51:49+00:00,"is your search goes to twiter or some other sites that are oiperated by bots , or you are filterring them , the setiment can be biased by such elements",negative,-0.2732,0.0,0.068,0.932,0.932
